user,title,price,bed,bedroom,bathroom,guest_adult,guest_kid,guest_pet,stay_type,description,latitude,longitude
1,멋진집,30000,3,2,2,2,2,2,1,제주도멋진집,32.2345,43.65434
2,쿨한집,60000,5,3,3,4,4,4,2,제주도쿨한집,56.7255,12.12341
3,힙한집,120000,8,4,4,6,5,4,3,제주도힙한집,35.7455,34.73437
4,ㅋㅋ집,35000,3,3,2,1,2,3,4,제주도ㅋㅋ집,23.1345,34.65434
5,ㅎㅎ집,65000,5,4,3,4,5,4,2,제주도ㅎㅎ집,56.3455,21.12341
6,ㅁㅁ집,130000,9,5,4,5,5,7,3,제주도ㅁㅁ집,53.2115,43.73437
7,멋진집,65270,4,3,3,5,3,3,4,제주도멋진집,-69.598689,126.347009
8,쿨한집,30353,6,2,4,1,2,5,4,제주도쿨한집,-20.985941,147.621239
9,힙한집,129515,9,4,2,4,2,4,3,제주도힙한집,10.454464,-125.395319
10,ㅋㅋ집,89122,9,2,3,3,3,4,2,제주도ㅋㅋ집,-61.212796,-119.147027
11,ㅎㅎ집,59178,4,2,2,1,3,5,1,제주도ㅎㅎ집,22.30977,-54.03229
12,ㅁㅁ집,100014,8,5,2,3,3,6,2,제주도ㅁㅁ집,45.227153,134.437318
13,멋진집,36599,9,4,4,4,3,3,4,제주도멋진집,39.758796,178.093291
14,쿨한집,88366,5,3,2,3,5,2,1,제주도쿨한집,-21.470586,123.583432
15,힙한집,78535,5,4,3,6,4,6,3,제주도힙한집,46.947486,-112.033056
16,ㅋㅋ집,43523,8,5,4,1,2,3,4,제주도ㅋㅋ집,-44.151382,-26.219391
17,ㅎㅎ집,71997,7,4,3,2,5,4,3,제주도ㅎㅎ집,-67.876033,24.806162
18,ㅁㅁ집,91664,4,4,4,5,4,6,3,제주도ㅁㅁ집,-34.955929,-135.458605
19,멋진집,118736,7,2,2,2,2,6,4,제주도멋진집,-11.115686,117.928919
20,쿨한집,32722,6,4,4,1,5,6,4,제주도쿨한집,-55.052018,-16.74046
21,힙한집,71546,8,2,4,5,3,4,3,제주도힙한집,-20.28772,-160.618226
22,ㅋㅋ집,106747,4,5,2,4,3,2,2,제주도ㅋㅋ집,-46.568419,-57.833293
23,ㅎㅎ집,128556,4,2,2,4,4,5,4,제주도ㅎㅎ집,10.223283,83.431434
24,ㅁㅁ집,113195,4,4,4,2,5,3,2,제주도ㅁㅁ집,-33.417997,145.156718
25,멋진집,73768,9,5,2,1,4,6,2,제주도멋진집,73.086562,141.895741
26,쿨한집,108121,5,4,3,6,2,5,3,제주도쿨한집,4.659287,-144.605041
27,힙한집,57722,4,3,4,6,2,3,3,제주도힙한집,-69.758394,-129.392073
28,ㅋㅋ집,43745,4,3,3,3,3,5,2,제주도ㅋㅋ집,-83.287169,21.838251
29,ㅎㅎ집,128159,7,3,2,2,3,3,2,제주도ㅎㅎ집,-18.063109,11.079479
30,ㅁㅁ집,82929,4,5,4,4,5,3,4,제주도ㅁㅁ집,-39.101826,-81.122214
31,멋진집,81985,5,5,2,2,2,5,4,제주도멋진집,66.554367,43.784997
32,쿨한집,128301,3,3,2,3,4,3,2,제주도쿨한집,53.308088,-52.770515
33,힙한집,84248,3,2,4,3,2,6,4,제주도힙한집,30.458962,24.694466
34,ㅋㅋ집,108072,4,2,2,4,2,2,4,제주도ㅋㅋ집,-52.260695,-41.99681
35,ㅎㅎ집,112722,9,5,2,1,3,3,2,제주도ㅎㅎ집,70.606843,12.107702
36,ㅁㅁ집,84216,8,2,3,2,3,6,4,제주도ㅁㅁ집,-37.957203,-79.220683
37,멋진집,46461,9,3,4,6,4,5,4,제주도멋진집,-58.19862,172.009756
38,쿨한집,115328,7,5,4,3,3,2,1,제주도쿨한집,-15.100593,18.829353
39,힙한집,39299,5,4,3,3,4,4,3,제주도힙한집,46.805018,-19.302131
40,ㅋㅋ집,57922,9,3,2,3,2,2,1,제주도ㅋㅋ집,-42.066556,121.780629
41,ㅎㅎ집,53780,9,4,4,2,4,4,1,제주도ㅎㅎ집,81.565287,-24.912127
